epoch,acc,loss,val_acc,val_loss
0,0.3477337062358856,2.4433789253234863,0.6233062148094177,1.4112130403518677
1,0.7638102173805237,0.9152021408081055,0.8373983502388,0.6218872666358948
2,0.8640226721763611,0.5277473330497742,0.869918704032898,0.46206238865852356
3,0.8831444978713989,0.42659157514572144,0.9051490426063538,0.3722447454929352
4,0.9072238206863403,0.35529282689094543,0.8726287484169006,0.4330919086933136
5,0.9125354290008545,0.3138647675514221,0.9105691313743591,0.3445681035518646
6,0.9359065294265747,0.2286028265953064,0.9376693964004517,0.2460061013698578
7,0.957880437374115,0.16672271490097046,0.9430894255638123,0.21575193107128143
8,0.946529746055603,0.19705091416835785,0.8888888955116272,0.4238227903842926
9,0.9405099153518677,0.22532102465629578,0.934959352016449,0.2561750113964081
10,0.96263587474823,0.139295294880867,0.9512194991111755,0.18976479768753052
11,0.981940507888794,0.0794265866279602,0.9647696614265442,0.15271936357021332
12,0.9890226721763611,0.056088678538799286,0.9647696614265442,0.13457633554935455
13,0.9915013909339905,0.03964906185865402,0.9620596170425415,0.1340642273426056
14,0.9918555021286011,0.034180037677288055,0.9756097793579102,0.11836758255958557
