,Path,Labels
0,a1.JPG0dim.tiff,1
1,a1.JPG0whs.tiff,1
2,a1.JPG10dim.tiff,1
3,a1.JPG10whs.tiff,1
4,a1.JPG11dim.tiff,1
5,a1.JPG11whs.tiff,1
6,a1.JPG12dim.tiff,1
7,a1.JPG12whs.tiff,1
8,a1.JPG13dim.tiff,1
9,a1.JPG13whs.tiff,1
10,a1.JPG14dim.tiff,1
11,a1.JPG14whs.tiff,1
12,a1.JPG15dim.tiff,1
13,a1.JPG15whs.tiff,1
14,a1.JPG16dim.tiff,1
15,a1.JPG16whs.tiff,1
16,a1.JPG17dim.tiff,1
17,a1.JPG17whs.tiff,1
18,a1.JPG18dim.tiff,1
19,a1.JPG18whs.tiff,1
20,a1.JPG19dim.tiff,1
21,a1.JPG19whs.tiff,1
22,a1.JPG1dim.tiff,1
23,a1.JPG1whs.tiff,1
24,a1.JPG2dim.tiff,1
25,a1.JPG2whs.tiff,1
26,a1.JPG3dim.tiff,1
27,a1.JPG3whs.tiff,1
28,a1.JPG4dim.tiff,1
29,a1.JPG4whs.tiff,1
30,a1.JPG5dim.tiff,1
31,a1.JPG5whs.tiff,1
32,a1.JPG6dim.tiff,1
33,a1.JPG6whs.tiff,1
34,a1.JPG7dim.tiff,1
35,a1.JPG7whs.tiff,1
36,a1.JPG8dim.tiff,1
37,a1.JPG8whs.tiff,1
38,a1.JPG9dim.tiff,1
39,a1.JPG9whs.tiff,1
40,b1.JPG0dim.tiff,2
41,b1.JPG0whs.tiff,2
42,b1.JPG10dim.tiff,2
43,b1.JPG10whs.tiff,2
44,b1.JPG11dim.tiff,2
45,b1.JPG11whs.tiff,2
46,b1.JPG12dim.tiff,2
47,b1.JPG12whs.tiff,2
48,b1.JPG13dim.tiff,2
49,b1.JPG13whs.tiff,2
50,b1.JPG14dim.tiff,2
51,b1.JPG14whs.tiff,2
52,b1.JPG15dim.tiff,2
53,b1.JPG15whs.tiff,2
54,b1.JPG16dim.tiff,2
55,b1.JPG16whs.tiff,2
56,b1.JPG17dim.tiff,2
57,b1.JPG17whs.tiff,2
58,b1.JPG18dim.tiff,2
59,b1.JPG18whs.tiff,2
60,b1.JPG19dim.tiff,2
61,b1.JPG19whs.tiff,2
62,b1.JPG1dim.tiff,2
63,b1.JPG1whs.tiff,2
64,b1.JPG2dim.tiff,2
65,b1.JPG2whs.tiff,2
66,b1.JPG3dim.tiff,2
67,b1.JPG3whs.tiff,2
68,b1.JPG4dim.tiff,2
69,b1.JPG4whs.tiff,2
70,b1.JPG5dim.tiff,2
71,b1.JPG5whs.tiff,2
72,b1.JPG6dim.tiff,2
73,b1.JPG6whs.tiff,2
74,b1.JPG7dim.tiff,2
75,b1.JPG7whs.tiff,2
76,b1.JPG8dim.tiff,2
77,b1.JPG8whs.tiff,2
78,b1.JPG9dim.tiff,2
79,b1.JPG9whs.tiff,2
80,c1.JPG0dim.tiff,3
81,c1.JPG0whs.tiff,3
82,c1.JPG10dim.tiff,3
83,c1.JPG10whs.tiff,3
84,c1.JPG11dim.tiff,3
